episode,aircraft,instruction
0,AC41,LNAV
0,AC31,HDG_L
0,AC37,HDG_R
0,AC32,HDG_L
0,AC37,HDG_R
0,AC31,LNAV
0,AC37,LNAV
0,AC34,LNAV
0,AC41,LNAV
0,AC32,LNAV
0,AC37,LNAV
0,AC34,HDG_L
0,AC39,HDG_R
0,AC34,LNAV
0,AC39,LNAV
0,AC37,HDG_L
0,AC39,HDG_R
0,AC39,HDG_L
0,AC41,HDG_R
0,AC37,LNAV
0,AC39,LNAV
0,AC52,HDG_L
0,AC53,HDG_R
0,AC52,LNAV
0,AC53,LNAV
0,AC58,HDG_L
0,AC59,HDG_R
0,AC58,LNAV
0,AC59,LNAV
0,AC54,HDG_L
0,AC58,HDG_R
0,AC54,LNAV
0,AC58,LNAV
0,AC47,HDG_L
0,AC48,HDG_R
0,AC47,LNAV
0,AC48,LNAV
0,AC54,HDG_L
0,AC62,HDG_R
0,AC54,LNAV
0,AC62,LNAV
0,AC58,HDG_L
0,AC62,HDG_R
0,AC58,LNAV
0,AC62,LNAV
0,AC49,HDG_L
0,AC59,HDG_R
0,AC49,LNAV
0,AC59,LNAV
0,AC49,HDG_L
0,AC58,HDG_R
0,AC49,LNAV
0,AC58,LNAV
0,AC61,HDG_L
0,AC64,HDG_R
0,AC61,LNAV
0,AC64,LNAV
0,AC50,HDG_L
0,AC54,HDG_R
0,AC50,LNAV
0,AC54,LNAV
0,AC50,HDG_L
0,AC62,HDG_R
0,AC50,LNAV
0,AC62,LNAV
0,AC78,HDG_L
0,AC79,HDG_R
0,AC78,LNAV
0,AC79,LNAV
0,AC55,HDG_L
0,AC66,HDG_R
0,AC55,LNAV
0,AC66,LNAV
0,AC55,HDG_L
0,AC66,HDG_R
0,AC57,HDG_L
0,AC69,HDG_R
0,AC55,LNAV
0,AC66,LNAV
0,AC57,LNAV
0,AC69,LNAV
0,AC67,HDG_L
0,AC70,HDG_R
0,AC67,LNAV
0,AC70,LNAV
0,AC60,HDG_L
0,AC69,HDG_R
0,AC60,LNAV
0,AC69,LNAV
0,AC73,HDG_L
0,AC77,HDG_R
0,AC56,HDG_L
0,AC63,HDG_R
0,AC73,LNAV
0,AC77,LNAV
0,AC56,HDG_L
0,AC70,HDG_R
0,AC56,LNAV
0,AC63,LNAV
0,AC56,LNAV
0,AC70,LNAV
0,AC81,HDG_L
0,AC82,HDG_R
0,AC81,LNAV
0,AC82,LNAV
0,AC56,HDG_L
0,AC71,HDG_R
