episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
24,1.6781423091888428,0.17696872491375262,50,37,139,11,0,143,45.65,0.1
25,,-0.4908447261997345,51,36,90,3,0,66,40.66,0.1
26,2.1626532077789307,0.012551440370322374,50,36,117,5,0,133,43.5,0.1
27,,0.15065021620585461,51,29,110,8,0,116,37.36,0.1
28,1.5531718730926514,0.3269127151793952,51,33,180,8,0,146,40.86,0.1
29,,0.14712338919009002,50,39,176,9,0,145,42.61,0.1
30,1.5147113800048828,0.04985394595860162,50,34,126,6,0,106,42.05,0.1
31,,0.03982414519794536,51,43,141,13,0,150,39.31,0.1
32,1.8239456415176392,0.05411939593156036,52,46,166,13,0,153,40.56,0.1
33,,-0.05678508121983231,50,42,136,12,0,133,40.53,0.1
34,1.6429922580718994,0.2730222210204712,50,29,140,6,0,139,33.94,0.1
35,,0.23433045032835545,51,28,134,7,0,118,47.8,0.1
36,1.5856952667236328,0.2314409110478355,50,32,144,4,0,133,39.18,0.1
37,,-1.0522508229901397,50,41,58,4,0,62,35.7,0.1
38,1.6115429401397705,-0.6362495347469289,50,39,78,5,0,73,35.53,0.1
39,,0.30108973770853314,52,26,117,11,0,122,37.07,0.1
40,1.0870606899261475,-0.1103236422969858,50,33,105,6,0,89,42.61,0.1
41,,-0.16653188203375846,51,44,110,15,0,128,37.76,0.1
42,2.20168137550354,0.10798860361789102,50,42,181,7,0,152,45.66,0.1
43,,0.1453727241332775,51,43,149,12,0,178,38.05,0.1
44,1.5399504899978638,-0.36696680268095044,50,49,102,9,0,117,39.35,0.1
45,,-0.24484919853829307,52,45,108,9,0,123,39.64,0.1
46,1.6717665195465088,0.25849013678207244,50,39,178,9,0,162,45.83,0.1
47,,-0.016764295764822034,50,41,147,4,0,119,37.86,0.1
48,1.7186205387115479,0.023439991147222398,51,41,131,12,0,136,41.58,0.1
49,,0.1908258563495912,52,32,141,11,0,115,35.61,0.1
50,0.9973293542861938,-0.5633617687314936,51,41,78,1,0,87,37.63,0.1
51,,0.16376554038212468,51,36,136,7,0,141,38.72,0.1
52,1.5381531715393066,-0.1455486403285023,50,35,92,6,0,103,36.78,0.1
53,,-0.17129750970287752,50,40,137,6,0,97,35.83,0.1
54,1.9054780006408691,0.2152770193195642,50,33,146,13,0,152,34.79,0.1
55,,-0.02679826744031848,51,39,120,5,0,134,38.96,0.1
56,1.7014976739883423,0.201657173920702,50,35,128,13,0,156,37.3,0.1
57,,-0.31262046281386585,50,45,106,11,0,104,39.58,0.1
58,2.0211403369903564,-0.13580539713920642,51,55,144,11,0,166,43.5,0.1
59,,0.07350465803464806,51,35,117,7,0,138,39.15,0.1
60,1.337677001953125,0.014262520139811182,50,40,140,13,0,143,42.18,0.1
61,,0.2868129346657889,50,26,120,12,0,110,39.53,0.1
62,1.7165042161941528,-0.18094220657001903,52,46,121,5,0,136,39.67,0.1
63,,0.16706558467772087,50,32,109,8,0,137,34.4,0.1
64,1.286074161529541,0.1217655005104298,52,31,118,10,0,117,39.52,0.1
65,,-0.04149796366766407,52,43,125,3,0,139,40.11,0.1
66,1.659621238708496,0.02856174065514396,50,34,115,9,0,118,39.63,0.1
67,,0.48290440806216456,50,23,164,16,0,157,35.55,0.1
68,1.436659574508667,0.060231122881803004,52,37,144,8,0,115,38.09,0.1
69,,-0.13691245454818035,50,41,114,7,0,114,47.62,0.1
70,1.4431157112121582,-0.0752351661388536,51,36,114,7,0,102,38.2,0.1
71,,-0.6854826393177725,50,47,90,9,0,77,34.97,0.1
72,1.4326785802841187,-0.49183753623428095,51,47,95,8,0,100,33.92,0.1
73,,0.1818307866965011,52,30,136,8,0,128,38.29,0.1
74,1.774416446685791,0.3683638720012854,52,20,109,12,0,109,42.33,0.1
75,,-0.41306413103902145,50,43,95,6,0,95,37.9,0.1
76,1.4622609615325928,0.010648333271754448,50,36,106,7,0,121,37.62,0.1
77,,0.3555968340583938,50,34,173,9,0,176,35.92,0.1
78,1.6012771129608154,-0.48079099359393757,54,41,84,4,0,98,39.32,0.1
79,,0.03410532112191537,51,37,125,13,0,131,41.47,0.1
80,1.5635559558868408,0.20181958253603294,51,25,104,10,0,102,36.93,0.1
81,,0.027380666073861564,53,32,114,10,0,100,40.77,0.1
82,1.513942003250122,0.2707748379822209,51,36,197,10,0,153,36.05,0.1
83,,-0.3001023736172743,50,43,99,5,0,109,40.8,0.1
84,2.1383590698242188,-0.06562408408451151,52,44,119,11,0,137,41.84,0.1
