episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
148,92.44966125488281,-0.36707238949391413,100,87,820,684,0,1618,66.84
149,,-0.40217391304347827,100,86,922,1598,0,1896,76.4
150,,-0.38191089640365,103,87,705,1433,0,1588,67.87
151,,-0.3585443037974684,104,82,688,1170,0,1302,64.94
152,106.33125305175781,-0.38215102974828374,100,83,571,1350,0,1575,63.84
153,,-0.3826530612244898,100,84,1263,663,0,1406,66.69
154,,-0.3898550724637681,102,81,1033,701,0,1716,66.07
155,,-0.3843599033816425,102,87,1482,679,0,1151,69.07
156,69.15383911132812,-0.37273991655076494,102,83,1145,619,0,1112,61.94
157,,-0.37524900398406374,100,85,933,1113,0,1970,72.23
158,,-0.3933500627352572,100,84,823,935,0,1430,66.05
159,,-0.3680089485458613,100,81,788,863,0,1925,68.96
160,51.21820068359375,-0.38762446657183497,100,85,880,1126,0,2212,74.18
161,,-0.3847972972972973,101,85,435,906,0,1619,60.84
162,,-0.39215686274509803,101,91,490,1746,0,1130,67.37
163,,-0.4033044420368364,101,87,545,1895,0,1252,71.34
164,43.30990219116211,-0.3989298454221165,101,92,517,896,0,1951,63.08
165,,-0.3941784548422198,100,93,657,886,0,2133,65.0
166,,-0.40413293566254793,101,95,883,1369,0,2442,74.91
167,,-0.378953421506613,100,93,700,1011,0,1767,66.05
168,62.20182418823242,-0.35429141716566864,101,80,637,993,0,1376,60.01
169,,-0.38101374570446733,101,95,812,1211,0,2633,75.29
170,,-0.3837429111531191,100,81,868,1165,0,2199,71.48
171,,-0.3794898490369599,100,88,682,1068,0,2092,65.7
172,80.77706909179688,-0.40785714285714286,100,93,849,1230,0,2121,69.56
173,,-0.35247836349331235,100,79,1064,560,0,918,65.06
174,,-0.3699866310160428,100,86,1264,715,0,1013,67.98
175,,-0.36833952912019824,101,75,1319,642,0,1267,66.49
176,62.753726959228516,-0.356,100,78,1091,543,0,1116,66.33
177,,-0.3622141997593261,103,84,645,1023,0,1656,65.2
178,,-0.38524590163934425,104,88,794,1277,0,2077,70.09
179,,-0.39246364037020715,101,83,956,1514,0,2068,81.72
180,59.80113220214844,-0.3955386289445049,100,88,688,952,0,2036,66.56
181,,-0.3562300319488818,101,80,927,645,0,932,60.69
182,,-0.3608316566063045,100,84,1099,743,0,1140,66.96
183,,-0.35154061624649857,103,85,1002,854,0,1000,65.88
184,34.62473678588867,-0.36433260393873085,101,80,949,728,0,1065,64.6
185,,-0.3547925608011445,102,80,460,1307,0,1029,62.22
186,,-0.39840848806366047,102,88,655,1716,0,1399,68.68
187,,-0.3952722920406942,100,93,568,1491,0,1283,66.32
188,55.66372299194336,-0.3759063022866704,101,88,576,1640,0,1370,70.04
189,,-0.3989547038327526,100,81,977,517,0,1376,64.11
190,,-0.3931428571428571,101,90,923,825,0,1752,67.94
191,,-0.3594664931685101,100,80,832,854,0,1388,67.5
192,25.321481704711914,-0.34410511363636365,100,76,967,770,0,1079,62.97
193,,-0.39626666666666666,100,83,1058,723,0,1969,67.45
194,,-0.38625466169419287,104,85,1067,836,0,1851,68.66
195,,-0.3711038961038961,101,87,1083,764,0,1233,65.97
196,47.483062744140625,-0.3926805143422354,104,85,889,857,0,2298,71.9
197,,-0.3810957254665864,100,92,394,1610,0,1318,69.27
198,,-0.38979447200566975,104,93,288,1585,0,949,61.04
199,,-0.38440303657694963,100,85,380,1407,0,1111,65.62
200,40.49724197387695,-0.3581124757595346,100,80,450,1415,0,1229,63.68
201,,-0.3784090909090909,100,88,665,1241,0,1614,69.02
202,,-0.390228013029316,100,90,622,1104,0,1344,64.42
203,,-0.40103896103896103,100,90,536,1465,0,1849,69.66
204,49.68207550048828,-0.3593848085373509,102,85,604,1260,0,1322,63.66
205,,-0.37545235223160434,100,90,1045,932,0,1339,67.56
206,,-0.3813664596273292,100,86,921,957,0,1342,65.5
207,,-0.3731155778894472,100,80,924,789,0,1471,66.0
208,52.58647537231445,-0.4088235294117647,101,87,992,958,0,1450,66.42
209,,-0.3651753325272068,100,87,898,975,0,1435,67.02
210,,-0.3940628637951106,100,87,797,975,0,1664,66.9
211,,-0.3632555356074207,100,83,936,966,0,1440,67.19
212,53.16987609863281,-0.36878370281605755,102,90,909,1047,0,1382,66.97
213,,-0.38443804034582135,103,91,908,960,0,1602,70.33
214,,-0.38658405172413796,101,80,793,1027,0,1892,69.49
215,,-0.40411286465805835,100,86,818,1047,0,2317,72.62
216,44.14203643798828,-0.3766307430516166,100,90,931,1029,0,1566,70.31
217,,-0.3773629489603025,100,86,796,1232,0,2204,72.56
218,,-0.3861878453038674,102,94,811,1160,0,1649,68.44
219,,-0.39407814407814407,101,80,578,931,0,1767,64.16
220,47.60041809082031,-0.3831229546517064,100,89,819,1310,0,2149,70.99
221,,-0.37083546899026143,101,91,889,1078,0,1935,72.18
222,,-0.3949688796680498,100,94,797,1178,0,1881,68.45
223,,-0.38204833141542005,100,88,668,902,0,1906,67.1
224,71.9637680053711,-0.40393133997785163,100,88,910,996,0,1706,67.83
225,,-0.3704490291262136,103,77,580,963,0,1753,65.27
226,,-0.4009163802978236,102,88,629,1159,0,1704,68.18
227,,-0.39173789173789175,102,84,569,1008,0,1933,65.43
228,52.86732864379883,-0.36694587628865977,100,81,615,1090,0,1399,62.31
229,,-0.33080260303687636,100,63,752,675,0,1339,59.52
230,,-0.38669064748201437,102,85,898,999,0,1995,71.63
231,,-0.3537989255564083,100,79,798,588,0,1220,61.36
232,18.28060531616211,-0.37431360585723,101,86,829,834,0,1615,68.07
233,,-0.34606926882902694,101,83,695,1120,0,1823,68.18
234,,-0.38194070080862536,100,89,852,1121,0,1737,75.43
235,,-0.4056203605514316,101,81,792,1090,0,1890,71.8
236,18.37703514099121,-0.4009163802978236,101,83,771,964,0,1757,76.63
237,,-0.36424242424242426,100,83,1180,643,0,1477,67.9
238,,-0.3642361111111111,102,89,1059,615,0,1206,64.03
239,,-0.39167478091528724,100,91,1013,811,0,2284,71.63
240,25.472320556640625,-0.370253164556962,100,87,1160,566,0,1118,63.08
241,,-0.37490774907749075,101,73,1069,620,0,1021,63.45
242,,-0.37719298245614036,100,89,1063,889,0,1240,66.94
243,,-0.40457804743519027,101,87,1159,978,0,1489,76.17
244,16.448312759399414,-0.3479008947006194,100,78,1010,753,0,1143,65.22
245,,-0.37884378843788435,106,93,778,1208,0,1266,67.77
246,,-0.3606821106821107,101,80,1023,980,0,1105,65.46
247,,-0.40423901940755874,102,95,857,1746,0,1313,74.28
248,33.09504699707031,-0.36615811373092927,100,80,1049,813,0,1022,65.59
249,,-0.3781138790035587,101,82,425,1274,0,1673,66.07
250,,-0.37771898883009997,104,93,415,1678,0,1309,69.02
251,,-0.37993527508090613,102,92,342,1468,0,1280,65.84
252,55.33829879760742,-0.38752146536920434,100,88,478,1344,0,1672,66.43
253,,-0.3851203501094092,102,86,984,870,0,888,64.13
254,,-0.3793103448275862,102,90,1054,1044,0,1034,67.38
255,,-0.3850096092248559,103,94,622,1165,0,1335,67.88
256,44.626007080078125,-0.3769287288758266,101,82,864,936,0,922,62.64
257,,-0.394356005788712,100,89,744,1037,0,2365,73.68
258,,-0.3875482625482625,104,91,912,1189,0,2043,73.68
259,,-0.3594900849858357,100,81,617,872,0,2041,66.72
260,52.20381164550781,-0.3739856801909308,101,85,774,1341,0,2075,73.53
261,,-0.362,100,87,323,1466,0,1211,61.05
262,,-0.3781664656212304,101,84,349,1331,0,1636,67.98
263,,-0.37913409500901984,100,84,334,1497,0,1495,64.94
264,55.705482482910156,-0.3981016192071469,100,89,377,1649,0,1556,71.24
265,,-0.3942985265855221,101,80,1095,738,0,1289,66.66
266,,-0.3454356846473029,101,73,1078,662,0,1152,63.88
267,,-0.35485103132161955,102,85,981,657,0,980,62.04
268,49.356201171875,-0.3678500986193294,100,84,1061,803,0,1178,65.39
269,,-0.39334687658710005,100,86,667,1023,0,2248,71.0
270,,-0.405,101,92,741,1232,0,2227,71.1
271,,-0.38261351052048725,100,76,745,1258,0,1609,70.8
272,49.168373107910156,-0.3931051587301587,100,93,770,1403,0,1859,72.84
273,,-0.3870646766169154,100,93,665,1028,0,2327,69.55
274,,-0.39713731198447355,100,96,757,1331,0,2034,71.92
275,,-0.37442218798151,100,87,678,1203,0,2013,69.85
276,71.87798309326172,-0.3884531590413943,104,86,800,1222,0,2568,72.65
277,,-0.3879537085744345,101,96,1566,745,0,1491,72.04
278,,-0.3825242718446602,100,95,1284,812,0,2024,70.23
