episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
108,2.897059917449951,-2.0083547135150277,51,39,80,24,51,0,5,36.65,0.05
109,,-0.6927668720775192,50,23,86,46,38,0,2,34.78,0.05
110,3.6311824321746826,-1.618193278716889,51,34,82,48,34,0,0,36.5,0.05
111,,-1.9155521213616824,53,40,88,36,47,0,5,36.91,0.05
112,3.760803699493408,-0.8566451832226512,50,24,83,44,36,0,3,41.71,0.05
113,,-1.3934501026991288,52,33,86,45,35,0,6,34.06,0.05
114,3.071103096008301,-2.2485600814639133,51,34,65,30,31,0,4,32.49,0.05
115,,-0.7472893501397995,50,25,92,47,43,0,2,33.78,0.05
116,3.3039543628692627,-1.1068578044761526,53,32,97,51,39,0,7,37.58,0.05
117,,-1.3555373686208605,50,33,86,50,35,0,1,37.1,0.05
118,4.074217319488525,-1.0288135859348402,51,30,97,47,45,0,5,38.88,0.05
119,,-0.9757289273209062,51,25,80,43,36,0,1,39.13,0.05
120,3.0272727012634277,-1.2793609352412039,51,27,73,46,24,0,3,35.88,0.05
121,,-1.5646615698176707,50,29,70,42,26,0,2,32.9,0.05
122,3.726120948791504,-0.7178374306162013,51,21,78,36,38,0,4,35.17,0.05
123,,-1.1669005467195404,50,26,75,49,26,0,0,37.55,0.05
124,3.5103931427001953,-0.4956007099306774,50,21,92,50,41,0,1,33.48,0.05
125,,-2.2248305712291923,50,33,63,41,19,0,3,36.76,0.05
126,2.8298263549804688,-1.3812115961780267,50,28,75,35,39,0,1,33.66,0.05
127,,-2.333491593175412,51,41,75,59,10,0,6,37.36,0.05
128,3.805621862411499,-0.8744860484786816,50,28,94,47,41,0,6,37.48,0.05
129,,-1.7334313064202531,51,27,60,44,14,0,2,33.89,0.05
130,3.616840124130249,-1.1253169804598113,51,31,94,66,28,0,0,35.13,0.05
131,,-1.4073630135168054,50,32,85,50,33,0,2,33.38,0.05
132,3.3377087116241455,-1.9764738452908797,50,38,79,51,27,0,1,33.23,0.05
133,,-1.7159619218641082,51,34,79,48,30,0,1,38.8,0.05
134,3.7813949584960938,-1.0855022539907866,50,26,79,46,31,0,2,35.14,0.05
135,,-0.8378324886828867,51,24,82,41,37,0,4,37.16,0.05
136,3.494879722595215,-1.3182849838955346,51,40,108,58,47,0,3,39.95,0.05
137,,-1.1104588023198316,50,26,78,45,31,0,2,38.38,0.05
138,3.151622772216797,-1.71614170231354,50,34,76,46,30,0,0,33.84,0.05
139,,-1.2635705495762781,50,25,70,37,32,0,1,35.52,0.05
140,3.667205810546875,-0.7037019502929217,50,26,99,45,52,0,2,34.68,0.05
141,,-0.7276157345372831,50,27,98,55,40,0,3,40.64,0.05
142,3.4393391609191895,-1.0057944129784355,50,29,92,48,43,0,1,35.15,0.05
143,,-1.2303109720385965,51,34,95,52,41,0,2,34.58,0.05
144,3.651743173599243,-1.5995298630262722,53,37,90,62,26,0,2,35.29,0.05
145,,-1.6368634360899372,51,40,97,54,43,0,0,33.92,0.05
146,3.3363194465637207,-0.8207984581283005,51,28,96,48,45,0,3,35.22,0.05
147,,-2.146262503518173,50,36,73,47,26,0,0,37.12,0.05
148,3.540377140045166,-1.184478359633744,51,31,90,57,31,0,2,35.39,0.05
149,,-1.300900141978794,50,34,93,64,28,0,1,37.9,0.05
150,3.325087070465088,-1.0717039273795164,50,27,81,54,26,0,1,32.36,0.05
151,,-1.0953016285180115,50,29,87,57,28,0,2,34.75,0.05
152,3.203361749649048,-1.6928430209118004,50,34,81,50,29,0,2,34.76,0.05
153,,-1.4091342190455363,52,34,89,59,26,0,4,37.86,0.05
154,3.7650110721588135,-1.7408344654355075,53,39,89,56,31,0,2,34.74,0.05
155,,-1.6944645003789585,50,34,80,39,41,0,0,34.69,0.05
156,3.16532301902771,-0.9199203848097907,50,25,84,47,37,0,0,35.9,0.05
157,,-1.2506872331836174,50,31,85,43,42,0,0,35.78,0.05
158,3.232120990753174,-0.8988369838761642,50,24,81,47,34,0,0,32.39,0.05
159,,-1.6716583522124584,50,35,82,52,30,0,0,38.1,0.05
160,4.079312324523926,-2.027872786286714,50,36,75,59,15,0,1,36.12,0.05
161,,-0.8873467359930642,51,28,94,59,32,0,3,38.66,0.05
162,3.3101534843444824,-0.25959893591990457,52,16,84,51,31,0,2,30.76,0.05
163,,-1.1521439476762778,50,30,88,39,47,0,2,37.81,0.05
164,3.7865078449249268,-0.9379628519306111,51,23,74,46,28,0,0,33.44,0.05
165,,-0.4447881286136685,50,25,118,63,53,0,2,38.24,0.05
166,4.105416297912598,-0.8556178826461945,50,24,81,36,45,0,0,38.32,0.05
167,,-1.0532004940806763,51,35,108,67,36,0,5,37.63,0.05
168,3.266167163848877,-1.5272075908660758,51,35,86,52,34,0,0,36.42,0.05
169,,-1.3828786199218117,50,27,69,40,29,0,0,33.76,0.05
170,3.0696160793304443,-0.8650729786174658,50,23,79,49,30,0,0,37.47,0.05
171,,-1.7596312879061593,50,36,80,49,30,0,1,35.08,0.05
172,3.876750946044922,-0.9073566556863445,50,29,98,52,43,0,3,34.06,0.05
173,,-1.61706855885625,50,36,85,48,36,0,1,43.01,0.05
174,3.205474853515625,-2.2960967241429517,50,37,69,42,26,0,1,31.42,0.05
175,,-1.4347910440040337,51,32,82,43,36,0,3,35.34,0.05
176,3.6572463512420654,-1.6224081132133972,50,29,70,45,25,0,0,34.2,0.05
177,,-1.13082097459836,50,36,105,58,47,0,0,40.92,0.05
178,3.5198259353637695,-1.0513868236853243,51,30,91,48,43,0,0,35.9,0.05
179,,-1.9294669472134847,50,31,65,45,19,0,1,43.2,0.05
180,3.5125317573547363,-1.1934502695441618,50,34,98,73,24,0,1,40.17,0.05
181,,-0.8767935433012016,51,32,106,55,49,0,2,36.77,0.05
182,3.7445802688598633,-1.3661972563809062,50,38,101,71,29,0,1,38.72,0.05
183,,-1.131848534810497,50,32,95,70,23,0,2,37.95,0.05
184,3.3522143363952637,-0.9204183872533115,50,25,83,46,36,0,1,37.76,0.05
185,,-1.0142008107087035,50,28,88,57,31,0,0,39.86,0.05
186,3.6916990280151367,-2.0467254380390085,51,34,71,48,21,0,2,33.37,0.05
187,,-1.838894262739229,50,35,77,45,32,0,0,36.37,0.05
188,3.3771114349365234,-1.3719536955587794,51,32,85,47,38,0,0,38.79,0.05
189,,-1.1831728174427618,51,27,77,34,40,0,3,36.61,0.05
190,3.0071072578430176,-1.5406405660844174,50,38,94,49,42,0,3,37.82,0.05
191,,-1.3119547456187854,52,30,82,50,30,0,2,34.93,0.05
192,3.2803163528442383,-1.3453014743812164,51,32,86,63,21,0,2,35.86,0.05
193,,-2.1749025072563364,50,36,70,49,20,0,1,34.87,0.05
194,3.591092586517334,-1.8534102400886543,50,42,92,59,32,0,1,32.87,0.05
195,,-2.0909164174955577,50,37,76,51,21,0,4,35.33,0.05
196,3.160078287124634,-1.4062810436695408,50,31,82,54,28,0,0,35.58,0.05
197,,-0.7531818031999384,51,26,95,39,55,0,1,35.05,0.05
198,4.0716094970703125,-0.6973117421965221,50,28,104,54,49,0,1,36.66,0.05
199,,-1.3708147648555375,50,30,79,51,27,0,1,35.91,0.05
200,3.35591983795166,-1.219459730584983,51,25,69,45,21,0,3,34.66,0.05
201,,-0.7683124647601074,53,23,85,63,20,0,2,38.79,0.05
202,3.765606641769409,-1.0920925679896913,51,30,90,59,28,0,3,39.71,0.05
203,,-1.6769665303328303,51,38,89,57,30,0,2,36.14,0.05
204,3.10713267326355,-1.1200882498845357,50,29,87,57,28,0,2,35.07,0.05
205,,-0.7182413046260463,51,24,92,46,45,0,1,36.11,0.05
206,3.3148021697998047,-1.5162051931409455,50,32,79,52,26,0,1,34.2,0.05
207,,-1.481014998229892,51,28,71,34,35,0,2,40.67,0.05
208,3.0107345581054688,-1.9686862046860985,50,37,79,61,16,0,2,42.77,0.05
209,,-0.6137658735390206,50,21,87,59,24,0,4,35.33,0.05
210,2.8955953121185303,-0.9029836208075821,51,24,82,40,42,0,0,36.46,0.05
211,,-0.8026960311667323,50,31,111,59,50,0,2,42.27,0.05
212,3.3575258255004883,-1.4247246816074908,51,34,91,64,26,0,1,34.13,0.05
213,,-1.2657233250881508,51,28,77,42,32,0,3,32.6,0.05
214,4.082271575927734,-1.6036058948650471,50,34,80,48,31,0,1,35.59,0.05
215,,-1.524525867792776,50,35,87,48,37,0,2,33.48,0.05
216,4.2373857498168945,-0.7691131065226721,50,21,77,35,40,0,2,36.18,0.05
217,,-1.266326422405501,50,30,83,55,27,0,1,35.11,0.05
218,3.4856672286987305,-1.2257692696858824,52,27,77,48,28,0,1,32.84,0.05
219,,-1.3245003704353306,50,33,90,51,38,0,1,37.63,0.05
220,3.3067145347595215,-2.043273093082651,50,48,98,65,32,0,1,37.51,0.05
221,,-1.5188626325267187,50,38,92,50,42,0,0,41.11,0.05
222,3.844069480895996,-1.1079639392588536,50,35,106,62,42,0,2,33.53,0.05
223,,-0.8652081067856732,50,26,87,55,28,0,4,34.68,0.05
224,3.867486000061035,-1.0657178745872453,50,27,84,48,35,0,1,31.57,0.05
225,,-1.102743756312568,50,28,86,55,29,0,2,38.29,0.05
226,3.301905632019043,-1.2902105361548946,52,33,91,47,42,0,2,35.6,0.05
227,,-1.5315605675910284,53,31,76,50,26,0,0,37.15,0.05
228,3.8608410358428955,-1.2851622523606039,51,32,86,46,38,0,2,38.55,0.05
229,,-1.6044186724256335,52,37,89,52,34,0,3,35.67,0.05
230,3.1496341228485107,-1.492511932784912,50,32,81,46,35,0,0,39.89,0.05
231,,-1.5478291210799442,53,31,79,50,28,0,1,38.46,0.05
232,3.6416492462158203,-0.19791593143199473,50,20,117,62,51,0,4,37.17,0.05
233,,-1.2126489817746016,50,34,97,69,26,0,2,38.15,0.05
234,3.3807265758514404,-1.686484820850337,50,32,74,46,25,0,3,35.06,0.05
235,,-0.9857897025924619,50,28,88,44,41,0,3,36.1,0.05
236,4.224026203155518,-0.8403714765059955,52,28,95,51,44,0,0,38.42,0.05
237,,-0.9440823694489737,50,27,91,48,41,0,2,33.77,0.05
238,3.327984571456909,-1.8297523002873655,50,32,73,55,17,0,1,34.91,0.05
239,,-1.6330301015393847,52,37,89,41,48,0,0,36.71,0.05
240,3.810004234313965,-1.4843824103365753,50,33,82,63,16,0,3,35.89,0.05
241,,-1.2203209290184005,50,36,103,50,51,0,2,32.86,0.05
242,3.7179927825927734,-1.4028729267697275,50,34,88,45,42,0,1,36.08,0.05
243,,-0.8667806084118622,51,23,79,44,34,0,1,32.71,0.05
244,3.5018696784973145,-1.6544687411695724,50,32,74,51,22,0,1,34.77,0.05
245,,-1.257602753710018,51,27,77,43,30,0,4,33.46,0.05
246,3.2737066745758057,-1.913418551448841,50,37,78,47,30,0,1,37.12,0.05
247,,-0.7898742809669995,50,26,90,44,43,0,3,32.88,0.05
248,3.8507866859436035,-1.3697080476778278,51,34,90,50,40,0,0,37.96,0.05
249,,-1.5732199448838944,51,35,83,49,33,0,1,32.74,0.05
250,3.55743408203125,-1.9244816959766098,54,39,84,52,30,0,2,39.62,0.05
251,,-1.2995142242664808,50,29,79,54,21,0,4,39.96,0.05
252,3.2931723594665527,-1.5310104274435792,50,32,79,44,33,0,2,34.23,0.05
253,,-2.042168647022497,51,42,85,53,31,0,1,39.7,0.05
254,3.4776532649993896,-2.169906687899451,50,42,81,50,29,0,2,34.83,0.05
255,,-0.25005849174733313,51,20,113,60,51,0,2,35.14,0.05
256,3.5217010974884033,-1.8705954432089351,50,30,65,49,15,0,1,33.53,0.05
257,,-0.8618436577413795,50,28,97,46,50,0,1,37.86,0.05
258,3.5323221683502197,-1.8448142217273118,50,36,78,41,37,0,0,38.08,0.05
259,,-1.2180104686786533,53,32,90,50,36,0,4,37.24,0.05
260,3.3106284141540527,-1.1698270728315527,51,28,80,44,35,0,1,36.93,0.05
261,,-1.6190015543925138,52,37,87,58,28,0,1,40.94,0.05
262,3.139406681060791,-1.4513663175418097,52,34,85,60,25,0,0,35.43,0.05
263,,-0.8836763128269974,50,31,109,52,55,0,2,36.99,0.05
264,3.6778430938720703,-1.2712554351563592,50,26,74,39,34,0,1,35.84,0.05
265,,-0.9273456735657852,50,32,105,69,35,0,1,38.31,0.05
266,3.090571880340576,-1.3694538636949634,50,38,100,59,39,0,2,40.65,0.05
267,,-1.5734618343543645,51,32,78,56,20,0,2,38.81,0.05
268,3.548449993133545,-1.2226937441700871,52,29,83,54,26,0,3,36.43,0.05
269,,-1.115216511489494,50,29,86,49,35,0,2,40.74,0.05
270,3.4585013389587402,-0.7351260624123194,50,25,100,43,54,0,3,41.63,0.05
271,,-0.4269841404018357,51,23,101,60,37,0,4,34.96,0.05
272,3.473872184753418,-1.981748647202845,52,39,82,39,41,0,2,36.75,0.05
273,,-1.7434287379516156,50,33,73,35,36,0,2,32.84,0.05
274,3.356520414352417,-1.701504126121508,51,28,65,33,30,0,2,33.48,0.05
275,,-1.3302077018481855,51,28,75,39,35,0,1,35.27,0.05
276,3.507720947265625,-1.4958440391955596,51,33,83,54,25,0,4,37.0,0.05
277,,-2.0049472815998723,50,36,75,37,35,0,3,35.14,0.05
278,3.5369455814361572,-0.7682232485578657,52,26,93,50,40,0,3,37.88,0.05
279,,-1.8436369399792043,50,38,83,43,38,0,2,38.54,0.05
280,3.530519723892212,-1.038196566099533,50,26,82,48,31,0,3,34.73,0.05
281,,-1.2455931386048746,52,30,87,51,34,0,2,33.48,0.05
282,3.450929641723633,-1.2527568117400574,51,29,82,42,40,0,0,40.32,0.05
283,,-1.6665820429152134,55,36,85,52,32,0,1,38.28,0.05
284,3.4899895191192627,-1.7351801638467357,50,38,85,41,44,0,0,37.09,0.05
285,,-0.7682610173229673,50,28,101,53,47,0,1,35.08,0.05
286,4.26795768737793,-1.1837410037126053,50,30,86,44,38,0,4,35.07,0.05
287,,-1.5625421648212081,50,31,77,36,39,0,2,31.5,0.05
288,3.0731139183044434,-1.6577762629642527,51,34,79,45,33,0,1,41.63,0.05
289,,-0.9241980263796771,51,25,85,47,32,0,6,34.05,0.05
290,3.4602341651916504,-1.7169996381849948,53,36,84,39,43,0,2,34.48,0.05
291,,-1.0601415009123338,51,30,91,48,39,0,4,38.84,0.05
292,3.584545612335205,-1.9777362566991508,51,36,75,44,28,0,3,33.69,0.05
293,,-1.0978620911725032,51,26,78,52,24,0,2,35.02,0.05
294,3.55873703956604,-1.3162035489032415,51,34,94,59,31,0,4,37.52,0.05
295,,-1.3461676792227897,51,30,81,41,38,0,2,34.68,0.05
296,3.420112371444702,-1.6714656357460778,51,30,69,36,28,0,5,36.48,0.05
297,,-0.6125967614115626,50,26,108,60,45,0,3,36.08,0.05
298,3.1208739280700684,-1.7008229814757656,51,30,69,38,29,0,2,32.72,0.05
299,,-1.6019427532340378,52,30,72,43,24,0,5,36.14,0.05
300,3.6721014976501465,-2.182691616795581,50,34,66,35,30,0,1,42.47,0.05
301,,-0.9217906048219974,51,25,85,51,32,0,2,34.18,0.05
302,3.7820215225219727,-1.7039948584652955,51,35,81,53,25,0,3,35.0,0.05
303,,-0.8524527645206021,50,25,85,48,35,0,2,36.62,0.05
304,3.4952750205993652,-1.8236740888420426,50,39,85,57,25,0,3,42.22,0.05
305,,-0.7983471069150643,50,22,79,48,30,0,1,34.29,0.05
306,3.4367563724517822,-0.6481994564865712,52,21,82,42,34,0,6,37.15,0.05
307,,-0.93755267341908,50,29,94,48,44,0,2,38.89,0.05
308,2.620205879211426,-1.2989479994615831,50,27,73,33,38,0,2,47.1,0.05
309,,-1.4964481963630731,51,29,75,38,30,0,7,33.37,0.05
310,3.269529342651367,-1.3111874797425538,52,31,84,43,39,0,2,32.74,0.05
311,,-1.1165320250733923,50,26,77,18,56,0,3,34.29,0.05
312,3.3335952758789062,-1.1722680182024232,50,28,81,16,60,0,5,34.63,0.05
313,,-0.9226845612963035,50,25,85,13,67,0,5,35.57,0.05
314,3.5623269081115723,-1.743544208271609,51,38,86,12,66,0,8,33.86,0.05
315,,-1.412357092365195,50,27,69,16,48,0,5,36.84,0.05
316,3.150707244873047,-0.7561939501093953,50,25,93,15,71,0,7,40.97,0.05
317,,-1.3474195043146424,51,33,89,43,40,0,6,36.07,0.05
318,3.541322946548462,-1.5488754566904384,52,32,77,44,33,0,0,36.37,0.05
319,,-1.0592651629135628,52,27,85,38,38,0,9,37.66,0.05
320,3.544079542160034,-1.201146534931176,52,33,93,47,41,0,5,40.01,0.05
321,,-1.7359250567905922,50,31,71,38,32,0,1,40.57,0.05
322,3.424898147583008,-1.491080091581681,50,33,83,44,34,0,5,31.86,0.05
