episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
31,,-0.3608316566063045,100,84,845,879,0,1258,62.28,0.3700000000000001
32,0.1771354079246521,-0.38900308324768756,101,84,1068,1106,0,1718,65.46,0.2800000000000001
33,,-0.378117048346056,100,96,1075,1073,0,1782,65.41,0.2800000000000001
34,,-0.3654654654654655,101,84,901,893,0,1536,62.33,0.2800000000000001
35,,-0.39183673469387753,100,91,1102,1086,0,1732,67.18,0.2800000000000001
36,0.17635415494441986,-0.3975725281231498,100,87,907,949,0,1522,58.76,0.19000000000000006
37,,-0.3698394495412844,100,79,921,933,0,1634,64.7,0.19000000000000006
38,,-0.3788936627282492,100,88,996,959,0,1769,63.78,0.19000000000000006
39,,-0.3743472584856397,101,83,778,805,0,1481,61.52,0.19000000000000006
40,0.17531248927116394,-0.3875072296124928,102,92,920,895,0,1643,60.35,0.10000000000000005
41,,-0.37263626251390436,100,87,886,921,0,1789,66.7,0.10000000000000005
42,,-0.379136690647482,100,87,705,714,0,1361,54.9,0.10000000000000005
43,,-0.3644888082274652,101,83,839,817,0,1650,62.56,0.10000000000000005
44,0.17765623331069946,-0.3825317855168601,101,91,911,927,0,1780,61.52,0.1
45,,-0.3602080624187256,104,94,736,809,0,1531,60.92,0.1
46,,-0.38252483927527764,100,88,881,912,0,1629,62.12,0.1
47,,-0.37799315849486886,101,85,934,898,0,1676,63.12,0.1
48,0.17687498033046722,-0.3653451811346548,101,82,744,730,0,1452,54.55,0.1
49,,-0.36185897435897435,100,89,838,800,0,1482,58.33,0.1
50,,-0.3768699654775604,100,91,881,894,0,1701,59.07,0.1
51,,-0.37632978723404253,106,85,806,762,0,1440,59.31,0.1
52,0.17531248927116394,-0.36911170928667564,100,90,751,746,0,1475,53.62,0.1
53,,-0.36144896879957694,100,82,983,978,0,1821,65.61,0.1
54,,-0.3985380116959064,101,85,863,874,0,1683,60.53,0.1
55,,-0.3794431279620853,101,90,858,903,0,1615,62.06,0.1
56,0.17609374225139618,-0.36144986449864497,100,83,756,763,0,1433,57.29,0.1
57,,-0.3541139240506329,100,79,804,806,0,1550,59.9,0.1
58,,-0.3607350096711799,100,79,789,794,0,1519,57.47,0.1
59,,-0.37273788674839464,104,87,914,846,0,1666,63.42,0.1
60,0.17661455273628235,-0.3807312826465467,100,85,873,880,0,1693,63.6,0.1
61,,-0.37177985948477754,101,93,900,878,0,1638,59.32,0.1
62,,-0.3816489361702128,103,83,771,800,0,1437,57.42,0.1
63,,-0.36945244956772333,100,80,906,880,0,1684,61.07,0.1
64,0.1758333146572113,-0.36341161928306553,102,82,853,837,0,1546,59.92,0.1
65,,-0.38941587618572143,102,92,1002,1050,0,1954,66.4,0.1
66,,-0.36591695501730104,101,85,874,889,0,1705,62.0,0.1
67,,-0.38427672955974845,100,86,810,822,0,1548,62.66,0.1
68,0.17374998331069946,-0.3662068965517241,102,83,757,751,0,1392,57.13,0.1
69,,-0.3623633879781421,101,86,755,739,0,1434,57.25,0.1
70,,-0.37630359212050984,102,88,899,880,0,1673,62.66,0.1
71,,-0.37718023255813954,100,86,699,664,0,1389,58.07,0.1
72,0.17609372735023499,-0.3800263678312459,101,90,778,800,0,1456,57.98,0.1
73,,-0.3629526462395543,103,78,973,946,0,1671,66.51,0.1
74,,-0.3669112741827885,100,79,787,776,0,1435,57.7,0.1
75,,-0.3787965616045845,103,78,923,896,0,1671,60.01,0.1
76,0.1773958057165146,-0.35714285714285715,100,72,667,692,0,1273,51.28,0.1
77,,-0.35294117647058826,101,80,788,784,0,1454,59.54,0.1
78,,-0.3878536922015183,101,85,730,738,0,1430,55.46,0.1
79,,-0.389727219965177,102,89,888,873,0,1685,60.58,0.1
80,0.17401041090488434,-0.37090301003344484,100,83,785,790,0,1415,56.19,0.1
81,,-0.36378205128205127,100,84,792,790,0,1538,58.33,0.1
