episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
74,,-0.4212875939849624,100,100,896,410,0,2950,75.74
75,,-0.398041185334003,104,91,869,643,0,2470,72.0
76,0.25994789600372314,-0.4023799030409872,100,91,935,647,0,2956,88.51
77,,-0.4062339000515198,102,90,866,466,0,2550,73.1
78,,-0.40408525754884544,100,97,931,814,0,2759,73.32
79,,-0.4236747708250299,101,86,1060,879,0,3079,81.3
80,0.2680208086967468,-0.3790951638065523,102,90,810,643,0,2393,68.54
81,,-0.4181654676258993,100,98,1141,645,0,3774,106.44
82,,-0.39907889467360835,100,90,980,946,0,3068,80.4
83,,-0.412944582299421,100,95,1020,669,0,3147,82.8
84,0.2628124952316284,-0.4196344892221181,100,97,879,581,0,2808,72.98
85,,-0.41892512632062473,100,90,960,466,0,2928,78.01
86,,-0.4065979381443299,106,99,1027,630,0,3193,87.39
87,,-0.41444600280504906,101,95,880,605,0,2793,78.43
88,0.2721874713897705,-0.4262295081967213,100,98,924,583,0,2885,76.23
89,,-0.411541701769166,102,100,982,653,0,3113,81.76
90,,-0.3988467083133109,100,88,843,752,0,2567,70.31
91,,-0.40150048402710553,100,94,928,335,0,2869,87.15
92,0.2628124952316284,-0.40495474035254886,100,93,933,551,0,2714,75.63
93,,-0.4092673459485687,102,95,778,700,0,2644,73.14
94,,-0.3953717380600689,102,94,882,449,0,2731,71.18
95,,-0.4029992406985573,100,92,1073,710,0,3485,88.93
96,0.2745312452316284,-0.41866478608368596,103,96,926,414,0,2914,90.29
97,,-0.3851273148148148,100,82,705,653,0,2098,69.04
98,,-0.4028138528138528,100,95,961,607,0,3052,77.65
