episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
169,,-0.5143553839931709,52,22,92,27,40,0,25,47.51,0.05
170,2.628376007080078,-0.3751428439131338,51,23,105,46,33,0,26,39.9,0.05
171,,-0.06577283670793459,50,12,75,24,28,0,23,39.9,0.05
172,2.1901957988739014,-0.8398631001320062,51,32,116,36,54,0,26,38.56,0.05
173,,-1.1778717549669295,52,34,99,31,40,0,28,40.25,0.05
174,3.2484593391418457,-0.7622807117697556,50,20,71,28,19,0,24,35.68,0.05
175,,-0.9665629417535913,50,26,86,30,29,0,27,38.39,0.05
176,3.251197576522827,-0.5849083287757325,50,21,83,27,37,0,19,38.96,0.05
177,,-1.667481125503298,50,36,83,25,33,0,25,35.32,0.05
178,3.194550037384033,-1.5411212339738416,50,37,91,25,40,0,26,35.32,0.05
179,,-0.2256532998572751,50,18,101,39,37,0,25,41.2,0.05
180,3.5052175521850586,-1.5267440959094547,51,43,107,36,43,0,28,38.27,0.05
181,,-0.060740980450759485,52,15,97,32,33,0,32,38.75,0.05
182,2.1838269233703613,-1.0719436206475075,50,32,99,33,37,0,29,36.33,0.05
183,,-0.7240208929144688,50,28,100,35,33,0,32,39.98,0.05
184,2.8723301887512207,-0.7787711883740731,51,25,90,27,36,0,27,38.53,0.05
185,,-1.3270919917873598,50,27,76,23,33,0,20,34.78,0.05
186,2.938723087310791,-0.4405027334894916,51,24,110,41,40,0,29,39.56,0.05
187,,-0.6265083408910623,50,23,90,34,30,0,26,36.76,0.05
188,2.6930060386657715,-0.6674453642782028,50,23,86,34,27,0,25,38.05,0.05
189,,-1.0780741192308203,52,28,85,18,43,0,24,35.99,0.05
190,2.5622689723968506,-0.48324072992930234,50,18,79,23,31,0,25,36.78,0.05
191,,-1.0744991978940555,52,22,68,17,26,0,25,36.63,0.05
192,3.1305673122406006,-0.9146010890238879,51,28,93,28,33,0,32,38.17,0.05
193,,-0.992728996273912,51,33,105,26,38,0,41,37.08,0.05
194,3.309760808944702,-1.3539603253189758,50,29,79,29,29,0,21,37.62,0.05
195,,-0.30751405839548296,50,18,91,34,35,0,22,40.02,0.05
196,2.6200222969055176,-0.8661789412088743,50,26,91,32,31,0,28,39.99,0.05
197,,-0.6081451438025238,51,22,89,25,35,0,29,38.58,0.05
198,2.997016191482544,-0.8867381857626245,51,22,74,25,38,0,11,35.44,0.05
199,,-1.0510276930347564,50,36,112,39,44,0,29,40.86,0.05
200,2.687046527862549,-0.744818561622092,53,26,96,30,37,0,29,36.87,0.05
201,,-0.9416160289499083,52,25,83,37,28,0,18,33.39,0.05
202,2.880434274673462,-1.34312127782757,50,23,65,17,26,0,22,34.22,0.05
203,,-1.3282061605924231,50,36,97,36,35,0,26,37.41,0.05
204,2.499985694885254,-1.2210493686230568,51,29,81,33,24,0,24,46.71,0.05
205,,-0.9851664116707647,50,28,89,25,36,0,28,37.01,0.05
206,2.8132097721099854,-0.7829441627659892,50,26,93,32,36,0,25,34.59,0.05
207,,-0.29397849017064215,52,15,78,24,35,0,19,39.99,0.05
208,3.1907572746276855,-1.529101783190413,53,30,74,19,23,0,32,36.13,0.05
209,,-1.3407725271579831,50,22,62,20,19,0,23,40.27,0.05
210,2.6308040618896484,-1.0538710803862572,51,30,93,30,39,0,24,36.19,0.05
211,,-0.3368152910508826,50,20,99,27,42,0,30,34.61,0.05
212,3.5062360763549805,-1.3033674716102224,51,29,78,19,29,0,30,36.49,0.05
