episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
106,2.280599594116211,-1.141042758501813,51,20,61,5,4,0,52,32.08,0.1
107,,-0.8581056030308796,51,21,73,11,8,0,54,32.63,0.1
108,2.3783230781555176,-0.7148555314556833,52,21,79,10,4,0,65,32.94,0.1
109,,-0.9044591069101995,50,19,64,11,8,0,45,35.01,0.1
110,2.277080535888672,-1.6498537180363484,50,27,63,10,9,0,44,35.73,0.1
111,,-1.1236668646199592,50,23,67,12,9,0,46,35.17,0.1
112,2.0869975090026855,-0.5085132883768507,51,18,80,10,16,0,54,36.41,0.1
113,,-0.9946525430726986,52,25,80,7,11,0,62,33.32,0.1
114,2.7935547828674316,-0.7371988140165522,50,21,77,10,15,0,52,35.87,0.1
115,,-0.7925317886962139,50,18,66,13,7,0,46,32.56,0.1
116,2.1570491790771484,-0.559183026795484,50,18,75,21,10,0,44,33.19,0.1
117,,-0.7059848767867344,51,23,84,18,14,0,52,33.06,0.1
118,2.6057796478271484,-1.0938848197101194,51,23,69,11,5,0,53,32.9,0.1
119,,-0.7591786812671703,50,22,78,11,14,0,53,33.1,0.1
120,2.9031364917755127,-0.9839341406401312,51,29,91,18,15,0,58,35.06,0.1
121,,-0.9513055594654395,50,19,63,11,6,0,46,34.18,0.1
122,2.550245761871338,-0.7681086518624022,53,21,78,12,18,0,48,35.32,0.1
123,,-0.7708416155426883,50,19,68,5,20,0,43,34.75,0.1
124,2.629206657409668,-0.5000957716363102,50,20,86,12,17,0,57,34.56,0.1
125,,-0.7229775651152287,50,18,70,12,9,0,49,32.31,0.1
126,2.354823112487793,-1.4750841201608476,51,28,71,10,10,0,51,32.73,0.1
127,,-1.1087100995094583,52,22,68,8,13,0,47,35.11,0.1
128,2.3093159198760986,-0.5554074258384896,50,19,80,9,15,0,56,33.3,0.1
129,,-0.9947310210455232,51,23,73,15,8,0,50,35.12,0.1
130,2.2131590843200684,-0.30613629559050953,51,14,71,13,10,0,48,35.05,0.1
131,,-0.6294647210019819,54,22,90,13,13,0,64,33.66,0.1
132,2.1920852661132812,-0.8968299748490841,55,21,71,10,7,0,54,33.17,0.1
133,,-0.9052829227033372,50,22,74,14,9,0,51,35.34,0.1
134,2.4155449867248535,-0.6211004646796155,51,18,70,11,10,0,49,34.82,0.1
135,,-0.25125762865914403,52,17,90,15,10,0,65,33.47,0.1
136,2.8105087280273438,0.12115550257955095,50,12,95,20,18,0,57,37.13,0.1
