episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
192,2.1574652194976807,-0.6258102680887451,50,21,81,74,5,0,2,33.76,0.05
193,,-0.6143619071729756,51,22,86,80,5,0,1,33.36,0.05
194,1.8219146728515625,-0.33444586076623206,50,20,102,93,2,0,7,37.71,0.05
195,,-1.0598397619149624,53,28,85,66,13,0,6,32.27,0.05
196,1.3372714519500732,-0.2912210408657452,51,19,102,95,3,0,4,34.01,0.05
197,,-0.14618968555167464,50,15,96,90,6,0,0,33.33,0.05
198,2.086789608001709,-0.14773813882679976,53,16,102,94,2,0,6,33.99,0.05
199,,-0.3287772793092385,50,18,90,82,2,0,6,35.92,0.05
200,1.9469144344329834,-0.46052332749036834,51,19,87,79,4,0,4,35.08,0.05
201,,-0.2795222641489848,50,18,99,94,1,0,4,35.09,0.05
202,1.9167531728744507,-0.40419823526404486,50,20,95,86,3,0,6,34.81,0.05
203,,-0.36110578165105806,51,21,101,96,2,0,3,36.09,0.05
204,2.1949105262756348,-0.5323458462234039,50,22,93,90,2,0,1,43.53,0.05
205,,-0.32926617609269493,51,18,95,87,1,0,7,35.01,0.05
206,2.1363120079040527,-0.2517718855823273,50,18,94,77,11,0,6,33.78,0.05
207,,-0.5520269548124208,51,19,82,75,5,0,2,32.97,0.05
208,1.3686996698379517,-0.4027284393340109,52,25,119,113,4,0,2,34.98,0.05
209,,-0.3352014031414339,51,19,101,87,11,0,3,37.47,0.05
210,2.4286251068115234,-0.014101440579607822,50,14,101,94,3,0,4,35.44,0.05
211,,-0.11880508821983427,51,14,82,70,8,0,4,37.75,0.05
212,2.5579233169555664,-0.8721966616472626,53,25,84,68,12,0,4,34.36,0.05
213,,-0.5303489337283093,50,22,93,89,1,0,3,31.62,0.05
214,2.355510950088501,-0.46153472340876206,50,20,91,85,4,0,2,33.68,0.05
215,,-0.39397864341618444,50,19,89,78,5,0,6,35.43,0.05
216,2.0869007110595703,-0.2371290744968606,51,16,89,82,4,0,3,35.07,0.05
217,,0.002209337924231993,50,13,99,92,4,0,3,34.95,0.05
218,2.05910062789917,-1.1694982504449627,51,32,91,74,10,0,7,31.69,0.05
219,,-0.9484874045352569,50,25,81,78,1,0,2,34.99,0.05
220,1.612860918045044,-0.3986369434547209,50,21,97,90,5,0,2,32.63,0.05
221,,-0.10654761981694477,51,16,110,100,5,0,5,34.69,0.05
222,2.3942463397979736,-0.5967706910407433,52,23,92,73,10,0,9,32.1,0.05
223,,-0.4100452288946346,50,18,87,83,3,0,1,35.96,0.05
224,2.1172714233398438,-0.5705048800544524,50,20,85,77,3,0,5,34.74,0.05
225,,-0.9417512413624541,53,28,94,78,13,0,3,32.96,0.05
226,2.085217237472534,-0.45635056441721067,52,25,117,112,3,0,2,34.94,0.05
227,,-1.132960180620391,51,30,87,72,9,0,6,31.68,0.05
