episode,loss,average reward,conflicts,LoS,instructions,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1785,,-1.5191043442668173,51,45,109,82,0,0,27,38.55,0.05
1786,3.036247730255127,-1.4808159199176625,51,37,94,81,0,0,13,37.06,0.05
1787,,-1.0236609423293346,51,49,150,93,2,0,55,68.92,0.05
1788,3.0015549659729004,-1.317495791340574,51,38,102,67,0,0,35,41.25,0.05
1789,,-2.2021660476054676,51,46,87,70,3,0,14,39.23,0.05
1790,3.6291799545288086,-1.5125487362122196,51,42,104,74,0,0,30,45.23,0.05
1791,,-0.3205468968467069,51,37,174,96,8,0,70,87.67,0.05
1792,2.8298370838165283,-0.830318982603518,50,38,131,108,6,0,17,44.57,0.05
1793,,-2.1783353857552124,50,45,87,76,1,0,10,42.23,0.05
1794,2.7977826595306396,-1.1084299672973283,51,33,97,68,2,0,27,57.86,0.05
1795,,-1.4672892353122753,50,39,98,78,2,0,18,50.82,0.05
1796,3.931720733642578,-1.3026583632850535,50,43,114,81,2,0,31,45.34,0.05
1797,,-1.3127468091571597,51,40,106,75,3,0,28,41.85,0.05
1798,3.836946964263916,-1.2714756290060791,51,44,118,90,0,0,28,43.47,0.05
1799,,-1.1923752086874506,50,33,94,70,1,0,23,44.15,0.05
1800,2.2519538402557373,-0.7088696528372309,38,30,108,59,1,0,48,94.55,0.05
1801,,-0.6840294552875861,51,44,161,91,1,0,69,77.67,0.05
1802,3.548344612121582,-0.9969991468517523,50,30,93,80,0,0,13,40.82,0.05
1803,,-1.5494169062164245,51,39,94,65,1,0,28,70.66,0.05
1804,3.1259498596191406,-1.7174469232998744,51,42,94,75,2,0,17,38.95,0.05
1805,,-1.7174156545764403,50,45,103,89,1,0,13,43.38,0.05
1806,2.9188475608825684,-0.45467438285356626,52,26,113,85,1,0,27,59.03,0.05
1807,,-0.8771146987267273,51,36,119,87,4,0,28,41.65,0.05
1808,3.591780662536621,-0.9417750531850885,50,34,108,79,3,0,26,37.39,0.05
1809,,-0.2439861666753799,50,31,159,130,2,0,27,43.18,0.05
1810,3.746640682220459,-1.3537750626970488,51,40,105,82,0,0,23,46.95,0.05
1811,,-0.7401047903429885,51,45,161,121,4,0,36,54.06,0.05
1812,2.7831273078918457,-0.9501157466140323,51,39,126,87,2,0,37,46.22,0.05
