epoch,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration
65,114.72340393066406,-0.392226148409894,100,86,244,1353,0,2365,93.25
66,,-0.41543962978544385,100,87,0,1172,0,3582,110.92
67,,-0.3887767460637868,100,90,0,1276,0,3678,122.49
68,,-0.3966639544344996,100,81,0,1256,0,3660,116.68
69,,-0.3634920634920635,100,78,0,1128,0,3282,112.63
70,103.51082611083984,-0.37479967948717946,100,79,0,1242,0,3750,105.14
71,,-0.35991820040899797,100,81,291,880,0,1763,58.63
72,,-0.37492391965916005,100,87,348,1004,0,1934,60.16
73,,-0.3843537414965986,101,86,363,1038,0,2127,69.42
74,,-0.38233695652173916,100,84,378,984,0,2318,66.79
75,127.9002914428711,-0.38871763255240444,100,81,357,956,0,1931,62.7
76,,-0.40066964285714285,100,86,321,1335,0,1928,77.99
77,,-0.37740384615384615,100,87,326,1183,0,1819,71.76
78,,-0.3685636856368564,100,88,408,1268,0,2014,65.71
79,,-0.37547051442910917,100,87,368,1136,0,1684,65.6
80,57.252037048339844,-0.3618181818181818,100,80,415,1174,0,1711,58.77
81,,-0.40169638973466726,100,72,0,1167,0,3431,89.09
82,,-0.38186813186813184,100,77,0,1177,0,3555,88.55
83,,-0.38993584603047315,100,84,0,1224,0,3764,88.5
84,,-0.3851559068950373,100,84,0,1125,0,3429,87.83
85,43.17909622192383,-0.36367837338262476,100,81,0,1105,0,3223,108.45
86,,-0.3789561354802887,101,86,0,1226,0,2376,98.16
87,,-0.40424505547515677,100,83,0,1308,0,2838,106.87
88,,-0.3663745892661555,100,85,0,1181,0,2471,83.82
89,,-0.386735807860262,100,84,0,1106,0,2558,95.07
90,161.20611572265625,-0.3821805392731536,100,94,0,1133,0,2279,86.08
91,,-0.3904435058078142,100,85,394,1111,0,2283,74.87
92,,-0.37799043062200954,100,81,335,1042,0,2385,67.52
93,,-0.39414972731779874,100,84,405,1170,0,2459,72.7
94,,-0.39702072538860106,100,92,486,1269,0,2877,74.6
95,124.0950927734375,-0.3726622662266227,100,86,370,1088,0,2178,83.03
96,,-0.37790697674418605,100,72,0,1292,0,3696,112.41
97,,-0.411128903122498,100,95,0,1367,0,3629,126.02
